Error Type,Topic Guid,Message
Error,,Checking for list in tables in file: message:System.Collections.ArrayList
Error,,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file: message:System.Collections.ArrayList
Error,,Checking for missing tables headers in file: message:System.Collections.ArrayList
Error,,Running transform:ConceptualTransform.xslt on file: message:System.Collections.ArrayList
Error,,Running github process on file: message:System.Collections.ArrayList
Warning,03a255d4-0e1d-4b24-b73d-7a62fae36254,Found a an ul list inside a table in html file:03a255d4-0e1d-4b24-b73d-7a62fae36254.xml
Warning,03a255d4-0e1d-4b24-b73d-7a62fae36254,Found nested table in md file:03a255d4-0e1d-4b24-b73d-7a62fae36254.md
Warning,03a255d4-0e1d-4b24-b73d-7a62fae36254,Fixing missing end table tag in file:03a255d4-0e1d-4b24-b73d-7a62fae36254.md
Warning,03a255d4-0e1d-4b24-b73d-7a62fae36254,Fixing missing end table tag in file:03a255d4-0e1d-4b24-b73d-7a62fae36254.md
Warning,03a255d4-0e1d-4b24-b73d-7a62fae36254,Fixing missing end table tag in file:03a255d4-0e1d-4b24-b73d-7a62fae36254.md
Warning,03a255d4-0e1d-4b24-b73d-7a62fae36254,Found invalid tables saving file:03a255d4-0e1d-4b24-b73d-7a62fae36254.md
Warning,0646580c-3f05-48a1-8f1f-b1e1d0740922,Missing tables headers in file:0646580c-3f05-48a1-8f1f-b1e1d0740922.md
Warning,08666236-1894-42ae-8846-e49232bbc460,Found a an ul list inside a table in html file:08666236-1894-42ae-8846-e49232bbc460.xml
Warning,0ac844b2-1b08-4e5a-addf-03cde7af7a40,Found a an ul list inside a table in html file:0ac844b2-1b08-4e5a-addf-03cde7af7a40.xml
Warning,0ac844b2-1b08-4e5a-addf-03cde7af7a40,Missing tables headers in file:0ac844b2-1b08-4e5a-addf-03cde7af7a40.md
Warning,28aa24b4-8c81-4327-9752-989ea7540db2,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>&lt;div&gt; 4255551234&lt;/div&gt;</b> in md file:28aa24b4-8c81-4327-9752-989ea7540db2.md total found:0
Warning,2f0cfb59-1ca1-4e31-84ce-09d0b1a7ce1b,Missing tables headers in file:2f0cfb59-1ca1-4e31-84ce-09d0b1a7ce1b.md
Warning,305984ec-3da8-4509-bb2b-6643dcf2cb7d,Missing tables headers in file:305984ec-3da8-4509-bb2b-6643dcf2cb7d.md
Warning,3e55c5a2-baad-4573-9ad9-37d0c42dcb53,Missing tables headers in file:3e55c5a2-baad-4573-9ad9-37d0c42dcb53.md
Warning,3ed752b1-5983-43f9-bcfd-760619ab40a7,Found a an ol list inside a table in html file:3ed752b1-5983-43f9-bcfd-760619ab40a7.xml
Warning,3ed752b1-5983-43f9-bcfd-760619ab40a7,Missing tables headers in file:3ed752b1-5983-43f9-bcfd-760619ab40a7.md
Warning,3ed752b1-5983-43f9-bcfd-760619ab40a7,Found nested table in md file:3ed752b1-5983-43f9-bcfd-760619ab40a7.md
Warning,3ed752b1-5983-43f9-bcfd-760619ab40a7,Fixing missing end table tag in file:3ed752b1-5983-43f9-bcfd-760619ab40a7.md
Warning,3ed752b1-5983-43f9-bcfd-760619ab40a7,Fixing missing end table tag in file:3ed752b1-5983-43f9-bcfd-760619ab40a7.md
Warning,3ed752b1-5983-43f9-bcfd-760619ab40a7,Found invalid tables saving file:3ed752b1-5983-43f9-bcfd-760619ab40a7.md
Warning,413acb29-ad83-4393-9402-51d88e7561ab,Missing tables headers in file:413acb29-ad83-4393-9402-51d88e7561ab.md
Warning,4935cddf-fafa-442d-91a3-246af01f8373,Found a an ul list inside a table in html file:4935cddf-fafa-442d-91a3-246af01f8373.xml
Warning,4935cddf-fafa-442d-91a3-246af01f8373,Found nested table in md file:4935cddf-fafa-442d-91a3-246af01f8373.md
Warning,4935cddf-fafa-442d-91a3-246af01f8373,Fixing missing end table tag in file:4935cddf-fafa-442d-91a3-246af01f8373.md
Warning,4935cddf-fafa-442d-91a3-246af01f8373,Fixing missing end table tag in file:4935cddf-fafa-442d-91a3-246af01f8373.md
Warning,4935cddf-fafa-442d-91a3-246af01f8373,Found invalid tables saving file:4935cddf-fafa-442d-91a3-246af01f8373.md
Warning,4a57e3d0-8b08-494f-a195-b44afa9cbc0d,Missing tables headers in file:4a57e3d0-8b08-494f-a195-b44afa9cbc0d.md
Warning,524dbea7-117f-493d-8005-6461f7f10059,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt; 250 </p> in md file:524dbea7-117f-493d-8005-6461f7f10059.md total found:0
Warning,57893158-1acd-44ac-acaf-19f58264a9e0,Missing tables headers in file:57893158-1acd-44ac-acaf-19f58264a9e0.md
Warning,5a0bd8ba-3334-46ee-becf-1025597737f6,Missing tables headers in file:5a0bd8ba-3334-46ee-becf-1025597737f6.md
