Error Type,Topic Guid,Message

Warning,11bc7b84-91cf-48f9-ad0e-06ad30b46a2e,Topic title:dns-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-addresses-using-nat bigger then max length:80 new topic title name:dns-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-addresses
Warning,579bfa5a-9443-46dd-9a8e-07d00ba2824d,Topic title:active-directory-schema-extensions-classes-and-attributes-used-by-lync-server-2013 bigger then max length:80 new topic title name:active-directory-schema-extensions-classes-and-attributes-used-by-lync-server-20
Warning,fafdcd2e-b778-4ed5-a25f-09208aa3b699,Topic title:enabling-or-disabling-critical-mode-to-block-or-allow-im-and-web-conferencing-sessions-if-archiving-fails bigger then max length:80 new topic title name:enabling-or-disabling-critical-mode-to-block-or-allow-im-and-web-conferencing-se
Warning,7c3c2fb4-4ff2-47b1-aab3-0aa91472eadb,Topic title:transition-a-collocated-mediation-server-to-a-stand-alone-mediation-server-optionalocs-2007-r2-to-w15 bigger then max length:80 new topic title name:transition-a-collocated-mediation-server-to-a-stand-alone-mediation-server-optio
Warning,df68fdc6-b7e6-4f07-acdc-0cd4c2c888a1,Topic title:mark-a-microsoft-sip-processing-language-mspl-application-as-critical-or-not-critical bigger then max length:80 new topic title name:mark-a-microsoft-sip-processing-language-mspl-application-as-critical-or-not-cri
Warning,d256a581-9a48-4d1a-82cc-2e1f520d7d2e,Topic title:specifying-the-client-applications-that-can-be-used-to-log-on-to-lync-server-2013 bigger then max length:80 new topic title name:specifying-the-client-applications-that-can-be-used-to-log-on-to-lync-server-201
Warning,efff2b98-b3fb-4183-a4f0-329a9105ce2c,Topic title:configuring-quality-of-service-policies-for-clients-running-on-windows-7-or-windows-8 bigger then max length:80 new topic title name:configuring-quality-of-service-policies-for-clients-running-on-windows-7-or-wind
Warning,1e8d5245-cd58-4aad-9a1c-35b24189bc40,Topic title:configure-persistent-chat-server-options-globally-or-for-persistent-chat-server-pool bigger then max length:80 new topic title name:configure-persistent-chat-server-options-globally-or-for-persistent-chat-server-
Warning,0efe76da-8854-499e-bdc7-3623244a8e85,Topic title:using-microsoft-sql-server-2008-r2-as-your-system-center-operations-manager-database bigger then max length:80 new topic title name:using-microsoft-sql-server-2008-r2-as-your-system-center-operations-manager-data
Warning,1098ae4d-f57f-44f3-804e-39889d9fc14e,Topic title:configure-lync-server-2013-to-work-with-unified-messaging-on-microsoft-exchange-server bigger then max length:80 new topic title name:configure-lync-server-2013-to-work-with-unified-messaging-on-microsoft-exchange-
Warning,c7413954-2504-47f4-a073-44548aff1c0c,Topic title:assigning-a-server-to-server-authentication-certificate-to-microsoft-lync-server-2013 bigger then max length:80 new topic title name:assigning-a-server-to-server-authentication-certificate-to-microsoft-lync-server
Warning,05ea128d-6c94-49b3-b28b-477367196425,Topic title:deploying-lync-server-2013-standard-edition-into-an-existing-lync-server-2013-enterprise bigger then max length:80 new topic title name:deploying-lync-server-2013-standard-edition-into-an-existing-lync-server-2013-en
Warning,43ad2a2c-7a55-4f11-baeb-57151ca09185,Topic title:phase-1-plan-your-migration-from-office-communications-server-2007-r2-ocs-2007-r2-to-w15 bigger then max length:80 new topic title name:phase-1-plan-your-migration-from-office-communications-server-2007-r2-ocs-2007-r
Warning,c472ad21-a93d-4fcb-a3d9-60a2134a87fa,Topic title:permissions-inheritance-is-disabled-on-computers-users-or-inetorgperson-containers bigger then max length:80 new topic title name:permissions-inheritance-is-disabled-on-computers-users-or-inetorgperson-containe
Warning,c5c864a6-96c7-4bbb-ab7c-61eb1744246c,Topic title:creating-an-archiving-configuration-to-manage-archiving-for-specific-sites-or-pools bigger then max length:80 new topic title name:creating-an-archiving-configuration-to-manage-archiving-for-specific-sites-or-po
Warning,4e8e9ce9-4301-47f2-a0c3-669afeb53295,Topic title:setting-up-sql-server-log-shipping-between-the-primary-mirror-and-the-log-shipping-secondary-database bigger then max length:80 new topic title name:setting-up-sql-server-log-shipping-between-the-primary-mirror-and-the-log-shippi
Warning,3d82eba5-9d68-4e30-9df7-6c5e8ba2d5ea,Topic title:troubleshooting-persistent-chat-server-configuration-using-windows-powershell-cmdlets bigger then max length:80 new topic title name:troubleshooting-persistent-chat-server-configuration-using-windows-powershell-cm
Warning,63f22010-a3d7-4cbd-86e8-6fc0e13c2b84,Topic title:configuring-voice-policies-and-pstn-usage-records-to-authorize-calling-features-and-privileges bigger then max length:80 new topic title name:configuring-voice-policies-and-pstn-usage-records-to-authorize-calling-features-
Warning,058da9c4-23af-4ddb-9f63-70133a8aafc6,Topic title:configuring-unified-messaging-on-microsoft-exchange-server-to-work-with-lync-server-2013 bigger then max length:80 new topic title name:configuring-unified-messaging-on-microsoft-exchange-server-to-work-with-lync-ser
Warning,74c883b4-cef6-41a9-b2eb-7212be32fea4,Topic title:configure-certificates-on-the-server-running-microsoft-exchange-server-unified-messaging bigger then max length:80 new topic title name:configure-certificates-on-the-server-running-microsoft-exchange-server-unified-m
Warning,8adcbbc5-c9f5-476d-ab7f-72e61859cacf,Topic title:configuring-a-quality-of-service-policy-for-your-conferencing-application-and-mediation-servers bigger then max length:80 new topic title name:configuring-a-quality-of-service-policy-for-your-conferencing-application-and-me
Warning,cf1154a6-4de3-4d14-b99b-73a88014347b,Topic title:using-scan-results-to-analyze-and-resolve-issues-reported-by-best-practices-analyzer bigger then max length:80 new topic title name:using-scan-results-to-analyze-and-resolve-issues-reported-by-best-practices-anal
Warning,2cb70db2-663f-40a6-abcf-89ea7d4a8b65,Topic title:replacing-the-xmladapter-with-a-customized-persistent-chat-server-compliance-adapter bigger then max length:80 new topic title name:replacing-the-xmladapter-with-a-customized-persistent-chat-server-compliance-ada
Warning,30cc98f2-1916-4dbe-99d0-8df5368ed3ec,Topic title:move-the-lync-server-2010-central-management-server-to-lync-server-2013w14-to-w15 bigger then max length:80 new topic title name:move-the-lync-server-2010-central-management-server-to-lync-server-2013w14-to-w1
Warning,a296c2af-54d4-4b4f-9795-9191baf688cb,Topic title:port-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-addresses-using-nat bigger then max length:80 new topic title name:port-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-addresse
Warning,14f6798a-28d6-4b3d-8734-942192e1bbf5,Topic title:authorize-connection-to-office-communications-server-2007-r2-edge-server-ocs-2007-r2-to-w15 bigger then max length:80 new topic title name:authorize-connection-to-office-communications-server-2007-r2-edge-server-ocs-200
Warning,8cabb187-cff7-44e7-a126-9b25861ef2c8,Topic title:remove-the-enterprise-edition-front-end-server-or-standard-edition-front-end-server-w14-to-w15 bigger then max length:80 new topic title name:remove-the-enterprise-edition-front-end-server-or-standard-edition-front-end-ser
Warning,5864793a-ba72-470c-bb5b-9fb41e968896,Topic title:creating-an-archiving-policy-to-enable-or-disable-archiving-of-internal-or-external-communications-for-specific-sites-or-users bigger then max length:80 new topic title name:creating-an-archiving-policy-to-enable-or-disable-archiving-of-internal-or-exter
Warning,4eb4b5f0-f407-46bd-a2ac-a7ccbc387d51,Topic title:managing-skype-for-business-online-and-microsoft-exchange-from-the-same-remote-windows-powershell-session bigger then max length:80 new topic title name:managing-skype-for-business-online-and-microsoft-exchange-from-the-same-remote-w
