VBA Project,GUID,Friendly name
Lync15_ITPro,b6e000ce-8b2e-460c-8a8b-000254b9d778,migrate-address-book-ocs-2007-r2-to-w15
Lync15_ITPro,73bbb09a-7966-4af1-aff3-001f5cc56df1,get-cscallparkorbit
Lync15_ITPro,f820f892-c247-447c-947a-00414189842e,grant-cslocationpolicy
Lync15_ITPro,b5b593a6-ac30-461c-8c8c-0041e2c9ab04,deploying-enterprise-voice
Lync15_ITPro,58341d6b-c3ff-4dd9-b1c7-0048f33861ca,configuring-the-global-policy-for-archiving
Lync15_ITPro,1b45d610-9840-4568-89e5-004ba31a15cf,standard-procedures
Lync15_ITPro,f059b3ce-a7d8-4ea9-b10b-0052222ec2ce,modify-the-global-hosted-voice-mail-policy
Lync15_ITPro,02d2aa6b-9e01-437b-a2df-00590280150d,dns-requirements-for-front-end-pool
Lync15_ITPro,a8443bc2-e234-4022-870a-00700f38b1ea,adding-commands-to-lync-menus
Lync15_ITPro,230bbb04-b4cb-410f-8284-00740558655d,get-cspoolbackuprelationship
Lync15_ITPro,4d328bf4-85bc-4870-8d6f-008c0e46520e,add-front-end-server-collocations-2010
Lync15_ITPro,fe7e14bb-c7eb-4719-b154-009e99360520,verify-pilot-pool-coexistence-with-legacy-pool-w14-to-w15
Lync15_ITPro,caff0123-ce41-4a62-87a0-00b1d118b72b,technical-requirements-for-ipv6
Lync15_ITPro,c8bb3c67-b324-4d94-8158-00c792c7ac42,enable-quality-of-experience
Lync15_ITPro,f464d715-68a4-462c-9584-00f41ab10db0,central-management-store-failover
Lync15_ITPro,6c3bf826-e7fd-4002-95dc-01020641ef01,configuring-scenarios-for-the-centralized-logging-service
Lync15_ITPro,d1c9ea66-bd07-480e-99a0-011108f97e42,granting-permissions
Lync15_ITPro,abc1a25d-1f5e-46ef-91d2-0144fc847206,using-topology-builder-to-configure-high-availability-and-disaster-recovery
Lync15_ITPro,bf357591-6efd-41a7-8d19-014b684b84f4,topology-view-simple-url-detail
Lync15_ITPro,9c491f8d-c4c0-48e5-afc2-0153864dab41,set-csliswirelessaccesspoint
Lync15_ITPro,7cc22b87-18d9-45e6-8402-015abd20f2e5,deployment-guidelines-for-mediation-server
Lync15_ITPro,6cc333e7-4029-4372-86b2-016040c415fb,overview-of-the-response-group-application
Lync15_ITPro,f10c19e6-b6f9-4d26-9923-0165f36e4af8,enable-or-disable-anonymous-user-access
Lync15_ITPro,b50c3f4a-bab6-4cb9-b40e-016cf1a9c607,tblactivepeers
Lync15_ITPro,109c5fe7-0154-4161-b19f-01bab024bb3d,update-csaddressbook
Lync15_ITPro,196252a1-2526-4944-9064-01d1846f3266,remove-csconferencedisclaimer
Lync15_ITPro,ea4b0c9f-7f93-4b8a-b901-01e1636c44fb,call-admission-control-report
Lync15_ITPro,72cbe2f5-1a01-4a6f-84a5-01f3212a8992,managing-enterprise-voice-for-users
Lync15_ITPro,9627869d-101f-4668-bee2-01fce1d84cbd,get-csnetworksite
Lync15_ITPro,896198f5-672b-48ea-852f-0211c0c90857,cdr-table-details
Lync15_ITPro,f7531374-d7ed-4b63-ae81-02294cb4496a,dns-requirements-for-persistent-chat-servers
Lync15_ITPro,df6962bc-2a16-440e-a333-022ebd14f957,dns-requirements-for-mobility
Lync15_ITPro,c94063f1-e802-4a61-be90-022fc185335e,ports-and-protocols-for-internal-servers
Lync15_ITPro,a0650659-dce7-455f-8977-02454bbfa400,configure-unassigned-phone-numbers
Lync15_ITPro,45e90203-2da3-44c3-beaf-02456fa970a1,av-mcu-scope-node
Lync15_ITPro,4252b5a5-4267-4513-b18e-0253a8d66f72,set-a-user-s-dial-in-conferencing-pin
Lync15_ITPro,d70a15b7-750b-4e0f-9a7f-0254d6d486c3,understanding-autodiscover
Lync15_ITPro,a1f6ffc0-9e6e-4217-a923-025c9679e154,scaled-director-pooldns-load-balancing-and-hardware-load-balancer
Lync15_ITPro,e5f7f38d-ede5-4af3-88c2-026e8a78df12,configuring-federation-support-for-a-lync-online-customer
Lync15_ITPro,1f89298b-aea9-4952-93ca-0270b565792b,enforce-phone-locking
Lync15_ITPro,81ecd26d-49e3-4c72-a66e-02748efb513b,performing-an-abc-front-end-pool-failover
Lync15_ITPro,25d7de86-871d-4f07-8825-028137365435,get-csarchivingpolicy
Lync15_ITPro,a8ff5f0b-50eb-43ff-941f-028e4383783c,adding-server-roles
Lync15_ITPro,59fe1370-1cec-4cf9-8f65-029a7c2454d1,get-csvoicenormalizationrule
Lync15_ITPro,fe11d380-54c9-47e7-a676-02b9a59dc93f,prepare-single-standard-edition-server-intro
Lync15_ITPro,b266e793-dcec-4807-b548-02c83848c983,set-up-edge-certificates
Lync15_ITPro,090aea0f-ef0b-49da-9c80-02d9279f2fa6,configure-policies-to-control-public-user-access
Lync15_ITPro,fb8e30aa-6b3c-4c8f-b22f-02db9e5fb8c0,move-user
Lync15_ITPro,8a317568-073b-49a9-a06b-02dc56b2c8f2,conferencing-devices
Lync15_ITPro,7b05aaef-f0ea-4649-ba8a-02e68b0cdf23,using-the-centralized-logging-service
Lync15_ITPro,bb13789c-7eda-461c-a387-02ea8ca4dabe,new-and-changed-settings-for-lync-2013
Lync15_ITPro,ed2d6325-3cf5-4450-9951-03092bcb0a7c,testing-exchange-to-lync-notifications
Lync15_ITPro,d591a310-3b5c-4092-b19e-0349616e40df,phase-10-decommission-legacy-site-ocs-2007-r2-to-w15
Lync15_ITPro,3ee3f595-947a-41c4-acb8-036336b4f17e,pending-certificate-returned
Lync15_ITPro,61374f9b-e85a-4866-91f2-037a862ba0d6,get-csadminroleassignment
Lync15_ITPro,a8931511-3e66-49ed-a3ec-03bcd61ce1f0,modify-existing-registrar-configuration-settings
Lync15_ITPro,49096960-c442-4846-be8f-03c167acea41,archiving-configuration-create-new-or-edit-existing
Lync15_ITPro,6519ed80-020f-47a3-851c-03dea5eac5d9,configure-network-adapters
