Error Type,Topic Guid,Message
Warning,00b9312c-b0c8-4f79-8b76-05b2d820e197,Found a an ul list inside a table in html file:00b9312c-b0c8-4f79-8b76-05b2d820e197.xml
Warning,01876843-8717-4e72-baf5-866ac8cceee6,Found a an ul list inside a table in html file:01876843-8717-4e72-baf5-866ac8cceee6.xml
Warning,01876843-8717-4e72-baf5-866ac8cceee6,Found nested table in md file:01876843-8717-4e72-baf5-866ac8cceee6.md
Warning,01876843-8717-4e72-baf5-866ac8cceee6,Fixing missing end table tag in file:01876843-8717-4e72-baf5-866ac8cceee6.md
Warning,01876843-8717-4e72-baf5-866ac8cceee6,Fixing missing end table tag in file:01876843-8717-4e72-baf5-866ac8cceee6.md
Warning,01876843-8717-4e72-baf5-866ac8cceee6,Found invalid tables saving file:01876843-8717-4e72-baf5-866ac8cceee6.md
Warning,025e8ab4-2e64-4a6b-8f52-caf756a5cac3,Found a an ul list inside a table in html file:025e8ab4-2e64-4a6b-8f52-caf756a5cac3.xml
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Found nested table in md file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Fixing missing end table tag in file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Fixing missing end table tag in file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Found invalid tables saving file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,0428eb2f-a5ce-47e5-9ea4-383965dfc1e4,Found nested table in md file:0428eb2f-a5ce-47e5-9ea4-383965dfc1e4.md
Warning,0428eb2f-a5ce-47e5-9ea4-383965dfc1e4,Fixing missing end table tag in file:0428eb2f-a5ce-47e5-9ea4-383965dfc1e4.md
Warning,0428eb2f-a5ce-47e5-9ea4-383965dfc1e4,Found invalid tables saving file:0428eb2f-a5ce-47e5-9ea4-383965dfc1e4.md
Warning,043b63ae-2d64-4f38-a0df-18aa08d6caf5,Found a an ul list inside a table in html file:043b63ae-2d64-4f38-a0df-18aa08d6caf5.xml
Warning,0444cdbd-538c-43b1-b9a1-9d7d6cf818d6,Found a an ul list inside a table in html file:0444cdbd-538c-43b1-b9a1-9d7d6cf818d6.xml
Warning,0453aeee-c41f-44e6-a6e0-aaace526ca08,Found a an ul list inside a table in html file:0453aeee-c41f-44e6-a6e0-aaace526ca08.xml
Warning,05b28f9b-4aba-4b69-ba8d-2ceeb6cbfaac,Found a an ul list inside a table in html file:05b28f9b-4aba-4b69-ba8d-2ceeb6cbfaac.xml
Warning,0813184a-ab40-417c-b3a3-c2090766b831,Found a an ul list inside a table in html file:0813184a-ab40-417c-b3a3-c2090766b831.xml
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Found a an ol list inside a table in html file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.xml
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Found nested table in md file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.md
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Fixing missing end table tag in file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.md
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Found invalid tables saving file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.md
Warning,090aea0f-ef0b-49da-9c80-02d9279f2fa6,Found a an ul list inside a table in html file:090aea0f-ef0b-49da-9c80-02d9279f2fa6.xml
Warning,09148118-6209-4fd7-a494-99118689a245,Found a an ul list inside a table in html file:09148118-6209-4fd7-a494-99118689a245.xml
Warning,0b83fbf4-e124-4efd-a0a9-202eb849af82,Found nested table in md file:0b83fbf4-e124-4efd-a0a9-202eb849af82.md
Warning,0b83fbf4-e124-4efd-a0a9-202eb849af82,Fixing missing end table tag in file:0b83fbf4-e124-4efd-a0a9-202eb849af82.md
Warning,0b83fbf4-e124-4efd-a0a9-202eb849af82,Found invalid tables saving file:0b83fbf4-e124-4efd-a0a9-202eb849af82.md
Warning,0c03b7fd-449a-47ad-8263-ce811164cbce,Found nested table in md file:0c03b7fd-449a-47ad-8263-ce811164cbce.md
Warning,0c03b7fd-449a-47ad-8263-ce811164cbce,Fixing missing end table tag in file:0c03b7fd-449a-47ad-8263-ce811164cbce.md
Warning,0c03b7fd-449a-47ad-8263-ce811164cbce,Found invalid tables saving file:0c03b7fd-449a-47ad-8263-ce811164cbce.md
Warning,0d654a19-6cf0-4118-903d-ec2c4e519253,Found a an ul list inside a table in html file:0d654a19-6cf0-4118-903d-ec2c4e519253.xml
Warning,0e29605b-db2d-4cbf-b6a9-15db6b9fdabc,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;username&gt;@contoso.com</i> in md file:0e29605b-db2d-4cbf-b6a9-15db6b9fdabc.md total found:0
Warning,0e29605b-db2d-4cbf-b6a9-15db6b9fdabc,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;fe-pool&gt;.contoso.com</i> in md file:0e29605b-db2d-4cbf-b6a9-15db6b9fdabc.md total found:0
Warning,0e29605b-db2d-4cbf-b6a9-15db6b9fdabc,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;URL&gt;</i> in md file:0e29605b-db2d-4cbf-b6a9-15db6b9fdabc.md total found:0
Warning,0e29605b-db2d-4cbf-b6a9-15db6b9fdabc,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;fe-pool&gt;.contoso.com</i> in md file:0e29605b-db2d-4cbf-b6a9-15db6b9fdabc.md total found:0
Warning,0e29605b-db2d-4cbf-b6a9-15db6b9fdabc,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;URL&gt;</i> in md file:0e29605b-db2d-4cbf-b6a9-15db6b9fdabc.md total found:0
Warning,0f126571-91a2-45d5-855c-1e4ddb45fc04,Found a an ul list inside a table in html file:0f126571-91a2-45d5-855c-1e4ddb45fc04.xml
Warning,0f631a36-fc2e-41cd-8a0d-f27e84f4a89e,Found a an ul list inside a table in html file:0f631a36-fc2e-41cd-8a0d-f27e84f4a89e.xml
Warning,0fde3b73-9a2f-44dd-b8dc-6df512303ff1,Found a an ul list inside a table in html file:0fde3b73-9a2f-44dd-b8dc-6df512303ff1.xml
Warning,1098ae4d-f57f-44f3-804e-39889d9fc14e,Found a an ul list inside a table in html file:1098ae4d-f57f-44f3-804e-39889d9fc14e.xml
Warning,1098ae4d-f57f-44f3-804e-39889d9fc14e,Found nested table in md file:1098ae4d-f57f-44f3-804e-39889d9fc14e.md
Warning,11bc7b84-91cf-48f9-ad0e-06ad30b46a2e,Found nested table in md file:11bc7b84-91cf-48f9-ad0e-06ad30b46a2e.md
Warning,11bc7b84-91cf-48f9-ad0e-06ad30b46a2e,Fixing missing end table tag in file:11bc7b84-91cf-48f9-ad0e-06ad30b46a2e.md
Warning,11bc7b84-91cf-48f9-ad0e-06ad30b46a2e,Found invalid tables saving file:11bc7b84-91cf-48f9-ad0e-06ad30b46a2e.md
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Found a an ul list inside a table in html file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.xml
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Found nested table in md file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.md
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Fixing missing end table tag in file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.md
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Fixing missing end table tag in file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.md
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Fixing missing end table tag in file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.md
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Fixing missing end table tag in file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.md
Warning,14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf,Found invalid tables saving file:14e0f5dc-77cd-42cd-a9c9-4d0da38fb1cf.md
Warning,14e24856-9996-4da4-9f31-300940bdf5aa,Found a an ul list inside a table in html file:14e24856-9996-4da4-9f31-300940bdf5aa.xml
Warning,151d5cc9-cc1b-4cfa-be9c-55ebe321f7a4,Found a an ul list inside a table in html file:151d5cc9-cc1b-4cfa-be9c-55ebe321f7a4.xml
Warning,1700f99b-709c-4e47-88eb-c0a5490e26e2,Found a an ol list inside a table in html file:1700f99b-709c-4e47-88eb-c0a5490e26e2.xml
Warning,17d67ea3-f74d-4952-ac2b-92c0dacc8014,Found nested table in md file:17d67ea3-f74d-4952-ac2b-92c0dacc8014.md
Warning,17d67ea3-f74d-4952-ac2b-92c0dacc8014,Fixing missing end table tag in file:17d67ea3-f74d-4952-ac2b-92c0dacc8014.md
Warning,17d67ea3-f74d-4952-ac2b-92c0dacc8014,Found invalid tables saving file:17d67ea3-f74d-4952-ac2b-92c0dacc8014.md
