Error Type,Topic Guid,Message
Warning,0043c9e7-83c6-4f07-88d2-7018c65c1654,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>Set-&lt;cmdlet&gt;</b> in md file:0043c9e7-83c6-4f07-88d2-7018c65c1654.md total found:0
Warning,01f77196-38f4-4292-9480-2e2fbd57eabe,Missing tables headers in file:01f77196-38f4-4292-9480-2e2fbd57eabe.md
Warning,02145fe6-8b7a-4508-8b3c-b9671b5bfcff,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>Set-&lt;cmdlet&gt;</b> in md file:02145fe6-8b7a-4508-8b3c-b9671b5bfcff.md total found:0
Warning,021a4c0b-d5de-4155-a506-650d758624aa,Found a an ul list inside a table in html file:021a4c0b-d5de-4155-a506-650d758624aa.xml
Warning,025e8ab4-2e64-4a6b-8f52-caf756a5cac3,Found a an ul list inside a table in html file:025e8ab4-2e64-4a6b-8f52-caf756a5cac3.xml
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Found nested table in md file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Fixing missing end table tag in file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Fixing missing end table tag in file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,031843fd-c7ff-4534-9b02-8847aad70807,Found invalid tables saving file:031843fd-c7ff-4534-9b02-8847aad70807.md
Warning,043b63ae-2d64-4f38-a0df-18aa08d6caf5,Found a an ul list inside a table in html file:043b63ae-2d64-4f38-a0df-18aa08d6caf5.xml
Warning,045e6e65-8ad6-49af-8bfb-aa9045fa4dd8,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>Set-&lt;cmdlet&gt;</b> in md file:045e6e65-8ad6-49af-8bfb-aa9045fa4dd8.md total found:0
Warning,0542eba9-3dda-40de-bba8-095d22825e4e,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>https://&lt;portal&gt;/QoERepositoryService/repository/item/{itemId}/subitem </p> in md file:0542eba9-3dda-40de-bba8-095d22825e4e.md total found:0
Warning,05b28f9b-4aba-4b69-ba8d-2ceeb6cbfaac,Found a an ul list inside a table in html file:05b28f9b-4aba-4b69-ba8d-2ceeb6cbfaac.xml
Warning,072b4bdc-0f1e-4fce-a41e-5c60d24556d5,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Removes the certification authority service backup file "&lt;SiteRootDirectory&gt;\CA\SfB CCE Root.p12" in the CA folder under the site share directory for Cloud Connector. </p> in md file:072b4bdc-0f1e-4fce-a41e-5c60d24556d5.md total found:0
Warning,0813184a-ab40-417c-b3a3-c2090766b831,Found a an ul list inside a table in html file:0813184a-ab40-417c-b3a3-c2090766b831.xml
Warning,0813184a-ab40-417c-b3a3-c2090766b831,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Modify the element entry with the silent options that you want to use. Make sure that you remove the comment delimiters- "&lt;!--" and "--&gt;". For example- use the following syntax:</p> in md file:0813184a-ab40-417c-b3a3-c2090766b831.md total found:0
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Found a an ul list inside a table in html file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.xml
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Found nested table in md file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.md
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Fixing missing end table tag in file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.md
Warning,082daeac-e667-4e2d-b78d-8e0901f9f0e9,Found invalid tables saving file:082daeac-e667-4e2d-b78d-8e0901f9f0e9.md
Warning,08648b16-7a64-41d8-9577-5000a20fce46,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>https://&lt;portal&gt;/QoEDataService/ClearCache </p> in md file:08648b16-7a64-41d8-9577-5000a20fce46.md total found:0
Warning,08eeddab-145c-44b4-8528-b1ae11549652,Found a an ul list inside a table in html file:08eeddab-145c-44b4-8528-b1ae11549652.xml
Warning,09148118-6209-4fd7-a494-99118689a245,Found a an ul list inside a table in html file:09148118-6209-4fd7-a494-99118689a245.xml
Warning,0b129b54-a7a8-42a6-9279-0e08410c06ec,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;prinID- affDescription&gt; </p> in md file:0b129b54-a7a8-42a6-9279-0e08410c06ec.md total found:0
Warning,0b2dcb40-13f8-4ce6-b537-527d34895ceb,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>Set-&lt;cmdlet&gt;</b> in md file:0b2dcb40-13f8-4ce6-b537-527d34895ceb.md total found:0
Warning,0b94f555-6888-4fe0-a048-4660a2513276,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;prinGuid- memberADPath&gt; </p> in md file:0b94f555-6888-4fe0-a048-4660a2513276.md total found:0
Warning,0c4a0ec4-1a2b-4ce8-8323-f797162ab4fe,Missing tables headers in file:0c4a0ec4-1a2b-4ce8-8323-f797162ab4fe.md
Warning,0c6f5f69-ae41-46d6-b817-fa1c6751c615,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>The unique identity of the configuration to be removed. This will be either Global or Site:&lt;site name&gt; (where &lt;site name&gt; represents the name of the site to which the settings apply). </p> in md file:0c6f5f69-ae41-46d6-b817-fa1c6751c615.md total found:0
Warning,0cb07eda-ffbe-48e2-b6bc-995737e5ba32,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>A unique identifier that contains the scope and name of the configuration. This configuration can be created only at the site scope- so the Identity will be in the following format: site:&lt;site name&gt;- where &lt;site name&gt; is the name of the site to which the configuration applies. </p> in md file:0cb07eda-ffbe-48e2-b6bc-995737e5ba32.md total found:0
