VBA Project,GUID,Friendly name
Skype16_ITPro,73bbb09a-7966-4af1-aff3-001f5cc56df1,get-cscallparkorbit
Skype16_ITPro,f820f892-c247-447c-947a-00414189842e,grant-cslocationpolicy
Skype16_ITPro,b5b593a6-ac30-461c-8c8c-0041e2c9ab04,deploy-enterprise-voice-in-skype-for-business-server-2015
Skype16_ITPro,230bbb04-b4cb-410f-8284-00740558655d,get-cspoolbackuprelationship
Skype16_ITPro,4d328bf4-85bc-4870-8d6f-008c0e46520e,add-front-end-server-collocations-2010
Skype16_ITPro,77832186-f8c2-4605-b854-00ab3f9b347c,crowe-coexistence
Skype16_ITPro,c8bb3c67-b324-4d94-8158-00c792c7ac42,enable-quality-of-experience-in-skype-for-business-server-2015
Skype16_ITPro,8373c93b-92a7-4932-bc1f-00fc08955426,deploy-persistent-chat-server-in-skype-for-business-server-2015
Skype16_ITPro,6c3bf826-e7fd-4002-95dc-01020641ef01,configure-scenarios-for-the-centralized-logging-service-in-skype-for-business-se
Skype16_ITPro,bf357591-6efd-41a7-8d19-014b684b84f4,topology-view-simple-url-detail
Skype16_ITPro,9c491f8d-c4c0-48e5-afc2-0153864dab41,set-csliswirelessaccesspoint
Skype16_ITPro,7cc22b87-18d9-45e6-8402-015abd20f2e5,deployment-guidelines-for-mediation-server-in-skype-for-business-server-2015
Skype16_ITPro,6cc333e7-4029-4372-86b2-016040c415fb,plan-for-the-response-group-application-in-skype-for-business-server-2015
Skype16_ITPro,b50c3f4a-bab6-4cb9-b40e-016cf1a9c607,tblactivepeers
Skype16_ITPro,0cd4e84c-8f5b-4714-8fd4-016ff058ac4d,remove-csthirdpartyvideosystem
Skype16_ITPro,109c5fe7-0154-4161-b19f-01bab024bb3d,update-csaddressbook
Skype16_ITPro,196252a1-2526-4944-9064-01d1846f3266,remove-csconferencedisclaimer
Skype16_ITPro,ea4b0c9f-7f93-4b8a-b901-01e1636c44fb,call-admission-control-report-in-skype-for-business-server-2015
Skype16_ITPro,9627869d-101f-4668-bee2-01fce1d84cbd,get-csnetworksite
Skype16_ITPro,896198f5-672b-48ea-852f-0211c0c90857,cdr-table-details-in-skype-for-business-server-2015
Skype16_ITPro,c94063f1-e802-4a61-be90-022fc185335e,ports-and-protocols-for-internal-servers
Skype16_ITPro,45e90203-2da3-44c3-beaf-02456fa970a1,av-mcu-scope-node
Skype16_ITPro,4252b5a5-4267-4513-b18e-0253a8d66f72,set-a-user-s-dial-in-conferencing-pin-in-skype-for-business-server-2015
Skype16_ITPro,6bf66ee1-33de-487a-94eb-026646c56ccd,start-cspool
Skype16_ITPro,25d7de86-871d-4f07-8825-028137365435,get-csarchivingpolicy
Skype16_ITPro,59fe1370-1cec-4cf9-8f65-029a7c2454d1,get-csvoicenormalizationrule
Skype16_ITPro,21007bad-62ce-4553-98e0-02aaa1345781,deploy-high-availability-and-disaster-recovery
Skype16_ITPro,fe11d380-54c9-47e7-a676-02b9a59dc93f,prepare-single-standard-edition-server-intro
Skype16_ITPro,fb8e30aa-6b3c-4c8f-b22f-02db9e5fb8c0,move-user
Skype16_ITPro,3ee3f595-947a-41c4-acb8-036336b4f17e,pending-certificate-returned
Skype16_ITPro,61374f9b-e85a-4866-91f2-037a862ba0d6,get-csadminroleassignment
Skype16_ITPro,0d6f91a1-c557-4d64-8886-0398c540708b,statistic-managerin-progress
Skype16_ITPro,3543eb40-54f4-49ef-a058-03aceed4773a,plan-for-high-availability-and-disaster-recovery-in-skype-for-business-server-20
Skype16_ITPro,d580b9ea-ee07-4511-923e-03adad6a4db7,set-csconversationhistoryconfiguration
Skype16_ITPro,49096960-c442-4846-be8f-03c167acea41,archiving-configuration-create-new-or-edit-existing
Skype16_ITPro,28daebcb-c2dc-4338-b2d1-04345ece9c19,enable-users-for-enterprise-voice-online-and-cloud-pbx-voicemail
Skype16_ITPro,963e6693-26bc-439f-b76d-04389e6ebbf9,video-interop-serversscope-the-node
Skype16_ITPro,104ecc02-789d-4538-8203-0451448d4301,update-csclslogging
Skype16_ITPro,f3477f0a-3ad5-4b13-a73c-046aa451db19,design-interactive-voice-response-call-flows-in-lync-server-2013
Skype16_ITPro,bd89bbf7-cb98-4cd8-bbfa-0484663d14db,get-dimension-members
Skype16_ITPro,d891a212-8ad9-4bfa-9ca7-04921c46fb45,define-your-requirements-for-emergency-calls-in-skype-for-business-server-2015
Skype16_ITPro,e43c0e33-8896-4709-84d5-04dc94f10cdb,create-a-new-user-policy
Skype16_ITPro,24b73e8e-948c-4e9c-bf4e-04ec0a229ffa,invoke-csdatabasefailover
Skype16_ITPro,5322e63e-c02c-4dec-8206-04f701258d6b,new-csdiagnosticheaderconfiguration
Skype16_ITPro,15f7a7d0-d6d6-491e-a2e3-04fd2d6528d5,get-cspresenceprovider
Skype16_ITPro,187d316d-2456-417e-b636-05527a18ef06,system-usage-reports-in-skype-for-business-server-2015
Skype16_ITPro,a71881ef-b04a-465e-9abb-0577bfd182f3,create-bandwidth-policy-profiles-in-skype-for-business-server-2015
Skype16_ITPro,9eebea4a-64a3-424c-9b05-0579c4e8111e,new-csmcxconfiguration
Skype16_ITPro,26c3a357-558f-406f-8df3-059911f771f0,remove-csuserreplicatorconfiguration
Skype16_ITPro,b95b3301-fa1e-4b96-9af4-05b43d39db8d,install-the-planning-tool-in-skype-for-business-server-2015
Skype16_ITPro,e95f938e-4dd2-48b8-95a3-05b4c63d4810,add-archiving-server-file-store
Skype16_ITPro,84940891-37a6-45fc-972d-05b95aa71ba9,new-csnetworkbandwidthpolicyprofile
Skype16_ITPro,daf1afc8-cce4-4192-8ba4-05d26817198e,remove-csnetworkintersitepolicy
Skype16_ITPro,62fdc9cc-e82e-463f-b8b3-05d5c6482ea2,get-ccexternalcertificatefilepath
Skype16_ITPro,085507a1-17e8-4dfa-aa6a-062620584335,test-cswatchernodeconfiguration
Skype16_ITPro,d692b377-8df2-4668-b9d3-06458dd4d96d,get-csannouncement
Skype16_ITPro,28ec32d2-6d1e-40e6-b2a8-065803288e8b,troubleshooting-enterprise-voice-cmdlets-in-lync-server-2013
Skype16_ITPro,d65a000f-905d-4512-b082-066748719f4c,new-cscallparkorbit
Skype16_ITPro,e77bf649-d62a-4d94-80de-066ba47730cd,get-item
Skype16_ITPro,01131e28-b38e-40d9-8524-06725b9c6608,security-framework-for-skype-for-business-server-2015
Skype16_ITPro,eef7877c-0302-4ce7-84f5-06968d0623b9,unlock-csclientpin
Skype16_ITPro,7da7e133-e405-466c-a852-06a4fb678c59,export-csconfiguration
Skype16_ITPro,b1721d52-3c65-45ea-8997-06af8fef93fc,conferenceuris-table-in-skype-for-business-server-2015
Skype16_ITPro,c8e6064a-8127-4c25-8685-06f49d8bbfce,add-persistent-chat-sql-server-store
Skype16_ITPro,202ca4ab-8e6d-44a4-b7c8-071133074feb,optional-verify-response-group-deployment-in-skype-for-business-2015
Skype16_ITPro,4802d733-14ef-4509-92b9-07173614e45f,deploy-call-via-work-in-skype-for-business-server-2015
Skype16_ITPro,4d3e67be-c094-415f-b1e6-0719dec6f3fc,remove-csvoicepolicy
